DealID,CompanyID,RepID,CreatedDateKey,LastActivityDateKey,StageName,StageOrder,Status,BaseWinProbability,DealValueEUR,ProductCategory
79,209,16,20230104,20240123,Proposal,3,Open,0.5,7000,Security
80,195,4,20230428,20230526,Proposal,3,Open,0.5,46675,Integration Services
81,363,30,20230918,20240924,Lead In,1,Won,0.1,94831,Cloud Migration
82,996,12,20221104,20221228,Lead In,1,Won,0.1,16194,Analytics & BI
83,947,38,20231021,20240102,Negotiation,4,Open,0.75,66166,Security
84,375,45,20230321,20230325,Lead In,1,Lost,0.1,45956,Integration Services
85,634,28,20230423,20230604,Proposal,3,Won,0.5,71887,Security
86,832,30,20230628,20230710,Closing,5,Open,0.9,58402,Integration Services
87,568,12,20230417,20230428,Qualified,2,Open,0.25,15912,Analytics & BI
88,234,17,20231023,20240203,Proposal,3,Open,0.5,198103,Security
89,346,22,20230409,20230418,Closing,5,Open,0.9,16192,Cloud Migration
90,966,45,20230502,20240516,Closing,5,Open,0.9,4245,Analytics & BI
91,579,51,20230918,20230920,Lead In,1,Won,0.1,5309,Analytics & BI
92,637,4,20231028,20231108,Qualified,2,Won,0.25,18248,Analytics & BI
93,584,7,20231001,20241011,Closing,5,Open,0.9,26999,Analytics & BI
94,705,50,20220808,20230107,Lead In,1,Won,0.1,140188,Integration Services
95,881,29,20220822,20220901,Proposal,3,Open,0.5,29691,Analytics & BI
96,422,17,20220706,20220930,Proposal,3,Won,0.5,97560,Cloud Migration
97,890,52,20220818,20221015,Closing,5,Open,0.9,13833,Analytics & BI
98,350,10,20230420,20230828,Negotiation,4,Won,0.75,150574,Professional Services
99,165,19,20230707,20240722,Closing,5,Open,0.9,15343,Data Platform
100,549,22,20231230,20240109,Lead In,1,Won,0.1,69682,Cloud Migration
101,905,18,20231007,20231101,Qualified,2,Lost,0.25,219064,Professional Services
102,259,5,20231126,20231202,Closing,5,Open,0.9,11151,Data Platform
103,673,5,20231112,20231115,Lead In,1,Lost,0.1,11557,Integration Services
104,943,18,20230906,20241125,Negotiation,4,Open,0.75,70014,Cloud Migration
105,449,23,20230523,20240525,Lead In,1,Won,0.1,13973,Integration Services
106,720,37,20230804,20230823,Qualified,2,Open,0.25,31672,Data Platform
107,231,7,20230804,20230815,Closing,5,Won,0.9,15245,Cloud Migration
108,22,50,20230524,20240531,Closing,5,Open,0.9,64271,Analytics & BI
109,553,2,20230704,20230718,Closing,5,Won,0.9,4262,Professional Services
110,206,38,20230409,20240424,Qualified,2,Open,0.25,30443,Professional Services
111,86,5,20230517,20230601,Qualified,2,Open,0.25,11695,Cloud Migration
112,200,38,20230218,20230224,Qualified,2,Open,0.25,12128,Data Platform
113,944,18,20221220,20230414,Lead In,1,Won,0.1,63851,Security
114,420,3,20231004,20241006,Lead In,1,Open,0.1,15988,Integration Services
115,965,2,20230720,20240728,Lead In,1,Lost,0.1,30427,Professional Services
116,720,38,20220709,20220730,Qualified,2,Lost,0.25,27761,Security
117,710,4,20221209,20230218,Negotiation,4,Open,0.75,213785,Integration Services
118,927,21,20231218,20240417,Negotiation,4,Won,0.75,18962,Data Platform
119,40,2,20230615,20240723,Qualified,2,Won,0.25,93420,Analytics & BI
120,249,37,20230420,20230517,Qualified,2,Lost,0.25,174556,Data Platform
121,484,16,20230716,20230726,Qualified,2,Open,0.25,45357,Integration Services
122,176,30,20231004,20250111,Negotiation,4,Won,0.75,77679,Data Platform
123,174,38,20230523,20230610,Proposal,3,Lost,0.5,7436,Data Platform
124,144,14,20230805,20230810,Lead In,1,Open,0.1,37768,Professional Services
125,198,46,20230218,20240222,Closing,5,Won,0.9,13730,Integration Services
126,627,21,20230722,20231002,Negotiation,4,Won,0.75,23659,Data Platform
127,554,38,20220927,20221224,Qualified,2,Lost,0.25,12285,Data Platform
128,892,31,20220709,20221228,Lead In,1,Open,0.1,55333,Analytics & BI
129,717,36,20230921,20240926,Lead In,1,Won,0.1,25640,Professional Services
130,670,31,20230405,20240515,Proposal,3,Lost,0.5,7355,Integration Services
131,901,2,20230430,20230503,Lead In,1,Won,0.1,116134,Cloud Migration
132,807,2,20230508,20240601,Qualified,2,Open,0.25,158389,Analytics & BI
133,3,45,20230407,20230513,Proposal,3,Won,0.5,106856,Cloud Migration
134,1,38,20220816,20220827,Negotiation,4,Won,0.75,227083,Data Platform
135,435,46,20230804,20240812,Lead In,1,Lost,0.1,31827,Professional Services
136,493,22,20230911,20240115,Negotiation,4,Open,0.75,279064,Cloud Migration
137,194,4,20220814,20221017,Proposal,3,Won,0.5,47293,Integration Services
138,718,22,20230314,20240318,Lead In,1,Open,0.1,22919,Cloud Migration
139,262,14,20231120,20231126,Lead In,1,Open,0.1,12854,Analytics & BI
140,110,12,20230224,20240301,Closing,5,Open,0.9,64377,Security
141,775,10,20221201,20221215,Qualified,2,Won,0.25,190649,Cloud Migration
142,905,36,20221226,20230124,Negotiation,4,Open,0.75,118370,Integration Services
143,164,29,20221122,20221220,Closing,5,Open,0.9,17227,Security
144,177,32,20230406,20240410,Lead In,1,Won,0.1,142249,Cloud Migration
145,272,50,20231217,20240408,Negotiation,4,Lost,0.75,36910,Data Platform
146,642,3,20230519,20230831,Negotiation,4,Open,0.75,12249,Professional Services
147,63,45,20230317,20240319,Lead In,1,Open,0.1,47271,Security
148,484,29,20220904,20230209,Negotiation,4,Won,0.75,80677,Cloud Migration
149,10,1,20230805,20230809,Lead In,1,Won,0.1,47985,Security
150,281,30,20230728,20230908,Proposal,3,Lost,0.5,18439,Cloud Migration
151,261,30,20230723,20230731,Lead In,1,Won,0.1,11541,Security
152,817,2,20230828,20230830,Lead In,1,Open,0.1,43297,Professional Services
153,95,37,20230728,20240514,Negotiation,4,Open,0.75,210583,Cloud Migration
154,646,4,20231030,20231107,Lead In,1,Open,0.1,41442,Cloud Migration
155,468,23,20230530,20230627,Closing,5,Open,0.9,80056,Cloud Migration
156,809,2,20230928,20250131,Negotiation,4,Won,0.75,47185,Analytics & BI
157,967,2,20230401,20230412,Closing,5,Won,0.9,49725,Analytics & BI
158,128,46,20221003,20230211,Proposal,3,Won,0.5,17625,Data Platform
159,467,38,20221005,20221221,Negotiation,4,Open,0.75,43093,Integration Services
160,586,31,20230822,20230915,Proposal,3,Won,0.5,4397,Data Platform
161,135,38,20220702,20221103,Lead In,1,Open,0.1,64381,Data Platform
162,899,4,20231009,20231012,Lead In,1,Lost,0.1,22500,Integration Services
163,763,16,20231102,20231114,Closing,5,Lost,0.9,27632,Cloud Migration
164,601,37,20230920,20231018,Proposal,3,Open,0.5,60354,Integration Services
165,336,38,20231124,20240218,Negotiation,4,Won,0.75,18149,Security
166,743,50,20220701,20221008,Lead In,1,Open,0.1,10764,Security
167,499,2,20230227,20240310,Closing,5,Open,0.9,14223,Data Platform
168,925,7,20230828,20231018,Proposal,3,Lost,0.5,17189,Professional Services
169,954,17,20230922,20250416,Negotiation,4,Open,0.75,26627,Data Platform
170,240,19,20220825,20230206,Lead In,1,Open,0.1,124018,Cloud Migration
171,677,50,20230628,20240708,Closing,5,Won,0.9,56715,Security
172,368,18,20230507,20230514,Lead In,1,Won,0.1,52890,Professional Services
173,283,31,20220922,20221028,Closing,5,Open,0.9,45807,Cloud Migration
174,968,46,20220708,20220802,Closing,5,Lost,0.9,9965,Analytics & BI
175,888,34,20230505,20240617,Proposal,3,Won,0.5,44809,Data Platform
176,498,30,20231202,20231218,Qualified,2,Open,0.25,7845,Security
177,992,23,20230130,20240210,Closing,5,Won,0.9,7005,Professional Services
178,377,10,20230322,20230331,Qualified,2,Won,0.25,35898,Cloud Migration
179,240,18,20230603,20240811,Proposal,3,Open,0.5,22318,Data Platform
180,927,50,20230916,20240918,Lead In,1,Lost,0.1,39815,Professional Services
181,821,28,20230822,20241211,Negotiation,4,Open,0.75,36667,Analytics & BI
182,813,17,20230925,20241008,Closing,5,Open,0.9,31274,Data Platform
183,723,10,20220816,20221126,Negotiation,4,Open,0.75,11539,Data Platform
184,340,30,20230420,20230519,Proposal,3,Won,0.5,76287,Data Platform
185,913,18,20230620,20230726,Proposal,3,Won,0.5,12512,Analytics & BI
186,672,37,20230706,20230712,Lead In,1,Won,0.1,50081,Integration Services
187,234,36,20230107,20240113,Lead In,1,Open,0.1,107540,Professional Services
188,398,5,20230520,20240917,Proposal,3,Won,0.5,84989,Integration Services
189,175,28,20230710,20240721,Closing,5,Open,0.9,5239,Professional Services
190,557,30,20230823,20240831,Lead In,1,Lost,0.1,25563,Analytics & BI
191,947,7,20231012,20231101,Closing,5,Open,0.9,81127,Analytics & BI
192,648,16,20231127,20231211,Closing,5,Lost,0.9,94637,Analytics & BI
193,738,34,20230504,20240703,Proposal,3,Open,0.5,78388,Security
194,947,37,20230913,20231110,Proposal,3,Open,0.5,27291,Integration Services
195,164,50,20221005,20221221,Proposal,3,Open,0.5,13828,Cloud Migration
196,972,1,20230925,20241023,Qualified,2,Open,0.25,55961,Data Platform
197,336,31,20221022,20221110,Closing,5,Lost,0.9,20876,Professional Services
198,291,32,20230824,20230826,Lead In,1,Lost,0.1,46205,Cloud Migration
199,926,31,20230918,20241220,Negotiation,4,Lost,0.75,4873,Security
200,231,34,20231224,20240125,Proposal,3,Open,0.5,10349,Cloud Migration
201,616,17,20221224,20230406,Qualified,2,Open,0.25,60682,Security
202,211,52,20230408,20230515,Proposal,3,Won,0.5,50235,Cloud Migration
203,598,3,20231111,20231112,Lead In,1,Open,0.1,8404,Professional Services
204,607,34,20230823,20240910,Qualified,2,Won,0.25,10729,Cloud Migration
205,981,27,20230518,20240530,Qualified,2,Open,0.25,39161,Analytics & BI
206,809,18,20220705,20221210,Proposal,3,Won,0.5,36606,Data Platform
207,651,38,20220907,20220921,Lead In,1,Open,0.1,24225,Analytics & BI
208,860,23,20230621,20230801,Proposal,3,Lost,0.5,55970,Cloud Migration
209,236,23,20231202,20231211,Lead In,1,Open,0.1,22780,Analytics & BI
210,156,28,20230807,20230810,Lead In,1,Won,0.1,44431,Security
211,725,31,20231222,20240128,Closing,5,Open,0.9,182867,Cloud Migration
212,45,5,20231113,20240206,Negotiation,4,Lost,0.75,7969,Security
213,415,27,20230816,20240124,Negotiation,4,Won,0.75,110843,Integration Services
214,284,10,20230627,20240716,Closing,5,Open,0.9,62016,Professional Services
215,102,30,20231003,20231018,Qualified,2,Lost,0.25,120211,Cloud Migration
216,362,38,20230912,20230923,Qualified,2,Won,0.25,44312,Analytics & BI
217,936,7,20230704,20230706,Lead In,1,Open,0.1,9237,Integration Services
218,347,31,20221109,20230225,Negotiation,4,Open,0.75,28313,Analytics & BI
219,763,50,20230509,20240803,Negotiation,4,Open,0.75,62853,Integration Services
220,389,38,20221014,20221116,Qualified,2,Won,0.25,105256,Data Platform
221,877,21,20230421,20230531,Proposal,3,Open,0.5,92704,Integration Services
222,307,7,20230326,20240426,Proposal,3,Won,0.5,9107,Professional Services
223,42,36,20230809,20230815,Closing,5,Open,0.9,42743,Professional Services
224,649,7,20231203,20231214,Closing,5,Lost,0.9,7421,Integration Services
225,139,21,20230920,20241011,Qualified,2,Won,0.25,70648,Professional Services
226,517,4,20230420,20240627,Negotiation,4,Lost,0.75,59827,Integration Services
227,763,21,20230713,20230718,Lead In,1,Open,0.1,31894,Analytics & BI
228,254,19,20230522,20230608,Qualified,2,Lost,0.25,108633,Cloud Migration
229,9,3,20230922,20231009,Closing,5,Won,0.9,25589,Data Platform
230,566,2,20230930,20250225,Negotiation,4,Open,0.75,177223,Professional Services
231,130,19,20231204,20231206,Lead In,1,Open,0.1,26513,Security
232,332,16,20230426,20240428,Lead In,1,Won,0.1,23733,Data Platform
233,70,7,20230821,20230913,Qualified,2,Won,0.25,33647,Integration Services
234,177,3,20231008,20240628,Negotiation,4,Won,0.75,164115,Cloud Migration
235,482,46,20220927,20230303,Negotiation,4,Open,0.75,77197,Analytics & BI
236,562,4,20230921,20241221,Negotiation,4,Won,0.75,60707,Cloud Migration
237,884,17,20231207,20240219,Negotiation,4,Open,0.75,55627,Data Platform
238,542,37,20230421,20230623,Negotiation,4,Open,0.75,13383,Integration Services
239,862,3,20230408,20240424,Qualified,2,Open,0.25,35982,Data Platform
240,993,45,20230801,20230830,Proposal,3,Open,0.5,23760,Professional Services
241,118,7,20230516,20240518,Lead In,1,Lost,0.1,63934,Security
242,372,34,20230622,20230702,Closing,5,Won,0.9,8344,Professional Services
243,512,34,20231210,20240114,Qualified,2,Open,0.25,28603,Analytics & BI
244,452,27,20230723,20231117,Negotiation,4,Open,0.75,12134,Integration Services
245,346,30,20230830,20230908,Qualified,2,Open,0.25,9911,Analytics & BI
246,313,36,20230426,20230624,Proposal,3,Open,0.5,58382,Integration Services
247,826,28,20230511,20230716,Negotiation,4,Won,0.75,11604,Integration Services
248,664,28,20230519,20240718,Negotiation,4,Open,0.75,8210,Professional Services
249,120,4,20221112,20221206,Closing,5,Won,0.9,12397,Professional Services
250,589,38,20230601,20240624,Qualified,2,Open,0.25,69458,Integration Services
251,45,17,20220709,20221004,Lead In,1,Won,0.1,10518,Integration Services
252,326,5,20230129,20230211,Qualified,2,Open,0.25,81372,Cloud Migration
253,47,36,20230525,20240619,Qualified,2,Won,0.25,41421,Analytics & BI
254,13,45,20230615,20231012,Negotiation,4,Open,0.75,162154,Integration Services
255,319,4,20220821,20220901,Closing,5,Lost,0.9,23221,Professional Services
256,56,4,20220710,20220724,Qualified,2,Won,0.25,81975,Analytics & BI
257,507,14,20230908,20241227,Negotiation,4,Open,0.75,89285,Cloud Migration
258,760,12,20230517,20230527,Lead In,1,Won,0.1,153787,Security
259,27,4,20221219,20230118,Lead In,1,Won,0.1,12206,Data Platform
260,869,4,20230322,20230503,Proposal,3,Lost,0.5,36144,Integration Services
261,279,28,20230621,20240821,Proposal,3,Won,0.5,7837,Professional Services
262,665,37,20230522,20241124,Negotiation,4,Open,0.75,140061,Professional Services
263,319,21,20230808,20230812,Closing,5,Open,0.9,11982,Security
264,370,51,20230702,20240816,Negotiation,4,Lost,0.75,6977,Professional Services
265,989,1,20230707,20230714,Closing,5,Open,0.9,44316,Security
266,298,16,20230508,20240608,Proposal,3,Won,0.5,8626,Security
267,626,35,20230604,20230615,Lead In,1,Open,0.1,52957,Analytics & BI
268,615,2,20230902,20231226,Negotiation,4,Open,0.75,53381,Cloud Migration
269,179,30,20230225,20240624,Negotiation,4,Open,0.75,14224,Integration Services
270,274,38,20221215,20230514,Closing,5,Won,0.9,21734,Cloud Migration
271,664,29,20230513,20230530,Qualified,2,Open,0.25,7630,Professional Services
272,180,12,20220704,20220911,Negotiation,4,Won,0.75,33899,Security
273,216,49,20230216,20240223,Lead In,1,Lost,0.1,170620,Analytics & BI
274,157,38,20230119,20240130,Closing,5,Open,0.9,10332,Security
275,838,23,20230625,20240627,Lead In,1,Lost,0.1,8709,Data Platform
276,183,16,20230922,20230926,Lead In,1,Open,0.1,13500,Integration Services
277,739,17,20230616,20240808,Qualified,2,Lost,0.25,84740,Integration Services
278,221,5,20230502,20240506,Lead In,1,Open,0.1,9241,Cloud Migration
279,810,12,20221004,20230206,Closing,5,Open,0.9,10245,Data Platform
280,160,47,20230319,20230621,Proposal,3,Open,0.5,67065,Cloud Migration
281,930,37,20230719,20240803,Lead In,1,Lost,0.1,86474,Security
282,659,52,20221214,20230527,Negotiation,4,Open,0.75,155522,Cloud Migration
283,273,12,20220827,20221110,Lead In,1,Won,0.1,39307,Security
284,175,30,20230914,20240920,Lead In,1,Open,0.1,6520,Cloud Migration
285,865,5,20230527,20230529,Lead In,1,Won,0.1,95614,Cloud Migration
286,24,23,20230728,20240810,Qualified,2,Won,0.25,19953,Security
287,562,50,20230217,20240224,Lead In,1,Won,0.1,17122,Integration Services
288,549,31,20230721,20230822,Qualified,2,Won,0.25,28511,Integration Services
289,942,19,20231111,20231228,Proposal,3,Won,0.5,121373,Cloud Migration
290,560,38,20220711,20221107,Proposal,3,Won,0.5,53723,Analytics & BI
291,573,30,20231103,20231111,Lead In,1,Lost,0.1,121281,Data Platform
292,469,2,20230706,20230909,Proposal,3,Won,0.5,28965,Security
293,146,21,20230915,20231006,Qualified,2,Lost,0.25,40928,Analytics & BI
294,284,36,20220719,20221209,Closing,5,Won,0.9,49939,Integration Services
295,242,5,20231225,20231230,Closing,5,Open,0.9,3552,Professional Services
296,375,46,20230826,20231031,Negotiation,4,Lost,0.75,37662,Professional Services
297,15,23,20230727,20230820,Closing,5,Open,0.9,88476,Security
298,74,45,20230627,20240711,Qualified,2,Open,0.25,41926,Professional Services
299,720,30,20230508,20240609,Proposal,3,Won,0.5,41944,Professional Services
300,508,22,20230809,20241104,Proposal,3,Won,0.5,150897,Integration Services
301,404,23,20230830,20231106,Proposal,3,Lost,0.5,52752,Integration Services
302,656,38,20230523,20230528,Lead In,1,Open,0.1,105847,Integration Services
303,96,16,20230914,20230918,Lead In,1,Won,0.1,80068,Analytics & BI
304,252,45,20230810,20230827,Qualified,2,Open,0.25,6172,Analytics & BI
305,145,17,20230601,20230727,Proposal,3,Open,0.5,49207,Data Platform
306,457,18,20230811,20230823,Qualified,2,Open,0.25,84771,Security
307,633,34,20230412,20230512,Proposal,3,Won,0.5,4858,Professional Services
308,677,30,20230930,20231020,Qualified,2,Lost,0.25,56552,Analytics & BI
309,891,5,20231110,20231116,Closing,5,Won,0.9,8509,Professional Services
310,10,7,20231028,20231106,Qualified,2,Open,0.25,45037,Data Platform
311,393,51,20231207,20231231,Qualified,2,Open,0.25,49045,Professional Services
312,358,29,20220711,20220720,Proposal,3,Open,0.5,6965,Professional Services
313,333,50,20221024,20230213,Lead In,1,Open,0.1,40942,Cloud Migration
314,471,30,20231027,20231121,Proposal,3,Open,0.5,31252,Data Platform
315,587,22,20230409,20230507,Closing,5,Lost,0.9,40343,Cloud Migration
316,531,47,20230423,20230502,Closing,5,Won,0.9,23779,Professional Services
317,276,23,20230924,20231001,Closing,5,Won,0.9,16614,Professional Services
318,334,17,20231109,20231226,Proposal,3,Open,0.5,35105,Data Platform
319,383,16,20230630,20230701,Lead In,1,Open,0.1,5686,Cloud Migration
320,647,49,20231012,20241014,Lead In,1,Open,0.1,17230,Cloud Migration
321,293,50,20220719,20221209,Proposal,3,Lost,0.5,57605,Integration Services
322,285,21,20230826,20240921,Proposal,3,Open,0.5,7737,Integration Services
323,848,17,20230509,20230514,Closing,5,Open,0.9,13904,Analytics & BI
324,554,30,20231025,20231030,Lead In,1,Open,0.1,16174,Data Platform
325,619,19,20231218,20240506,Negotiation,4,Open,0.75,44306,Integration Services
326,561,38,20221102,20230225,Proposal,3,Lost,0.5,99657,Professional Services
327,742,16,20230913,20240319,Negotiation,4,Open,0.75,84581,Professional Services
328,966,30,20230407,20230508,Proposal,3,Won,0.5,12988,Security
329,388,46,20220905,20230216,Proposal,3,Lost,0.5,8066,Integration Services
330,4,46,20230410,20240715,Negotiation,4,Lost,0.75,76925,Integration Services
331,390,30,20230803,20241003,Negotiation,4,Open,0.75,4218,Integration Services
332,245,31,20230213,20240612,Negotiation,4,Lost,0.75,51705,Integration Services
333,775,46,20231119,20231216,Closing,5,Lost,0.9,382279,Cloud Migration
334,328,49,20230411,20240430,Closing,5,Won,0.9,46962,Analytics & BI
335,808,7,20230424,20230430,Closing,5,Open,0.9,63871,Security
336,544,17,20231109,20231110,Lead In,1,Lost,0.1,13174,Analytics & BI
337,504,22,20231231,20240407,Negotiation,4,Lost,0.75,7637,Security
338,535,23,20230620,20240821,Proposal,3,Won,0.5,34230,Integration Services
339,920,4,20230716,20230725,Closing,5,Open,0.9,19642,Analytics & BI
340,509,4,20221117,20230324,Negotiation,4,Won,0.75,29593,Data Platform
341,83,30,20231011,20231030,Qualified,2,Open,0.25,30509,Cloud Migration
342,788,10,20220804,20230127,Proposal,3,Open,0.5,16332,Cloud Migration
343,590,14,20230712,20240720,Lead In,1,Won,0.1,28447,Professional Services
344,266,31,20230520,20240619,Proposal,3,Won,0.5,63570,Security
345,461,37,20230505,20230731,Negotiation,4,Open,0.75,5833,Security
346,329,12,20230304,20230324,Closing,5,Open,0.9,123007,Cloud Migration
347,892,38,20220724,20220902,Proposal,3,Open,0.5,119849,Professional Services
348,665,23,20230502,20230511,Lead In,1,Open,0.1,117312,Security
349,997,16,20230923,20241024,Closing,5,Open,0.9,100052,Analytics & BI
350,514,7,20231113,20231205,Closing,5,Open,0.9,38998,Integration Services
351,963,50,20230920,20240309,Negotiation,4,Won,0.75,216101,Analytics & BI
352,136,1,20230428,20240502,Lead In,1,Open,0.1,9488,Data Platform
353,969,2,20230821,20240907,Qualified,2,Won,0.25,7331,Cloud Migration
354,661,17,20230815,20230925,Proposal,3,Won,0.5,7190,Security
355,394,17,20230605,20230612,Closing,5,Open,0.9,9157,Integration Services
356,564,2,20230821,20240905,Qualified,2,Won,0.25,6572,Professional Services
357,383,14,20230407,20230413,Qualified,2,Open,0.25,13397,Analytics & BI
358,993,30,20230521,20230529,Closing,5,Open,0.9,65786,Data Platform
359,515,30,20230404,20230810,Negotiation,4,Lost,0.75,20083,Security
360,89,17,20230525,20240907,Negotiation,4,Won,0.75,34359,Analytics & BI
361,544,2,20230525,20240624,Proposal,3,Open,0.5,15590,Data Platform
362,497,14,20230809,20240906,Proposal,3,Won,0.5,7984,Data Platform
363,329,46,20230608,20240626,Qualified,2,Lost,0.25,53474,Analytics & BI
364,369,30,20230902,20241014,Proposal,3,Lost,0.5,44931,Analytics & BI
365,991,30,20230804,20230811,Lead In,1,Lost,0.1,17571,Integration Services
366,276,35,20230625,20240825,Negotiation,4,Lost,0.75,11523,Security
367,312,36,20230926,20241028,Proposal,3,Open,0.5,9452,Integration Services
368,818,7,20230510,20230524,Qualified,2,Open,0.25,78404,Data Platform
369,586,30,20230516,20230517,Lead In,1,Won,0.1,6545,Analytics & BI
